City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,11.81,47,75,9.77,AR,1678437219
1,mandan,46.8267,-100.8896,-10.0,89,100,2.06,US,1678436729
2,voh,-20.9667,164.7,25.93,75,27,2.54,NC,1678437220
3,parambu,-6.2111,-40.6944,19.61,90,99,0.94,BR,1678437222
4,boa vista,2.8197,-60.6733,25.99,78,75,2.57,BR,1678437222
5,banjar,-8.19,114.9675,28.02,84,98,0.36,ID,1678437223
6,hermanus,-34.4187,19.2345,21.0,72,28,2.83,ZA,1678437224
7,yerbogachen,61.2767,108.0108,-14.18,93,100,5.1,RU,1678437225
8,hithadhoo,-0.6,73.0833,26.99,77,78,4.22,MV,1678437226
9,mount isa,-20.7333,139.5,25.87,73,100,5.14,AU,1678436673
10,cape town,-33.9258,18.4232,21.18,71,20,3.6,ZA,1678437087
11,novyy urengoy,66.0833,76.6333,-9.28,93,100,8.22,RU,1678437227
12,vaini,-21.2,-175.2,25.09,73,20,4.63,TO,1678437228
13,khatanga,71.9667,102.5,-22.29,98,99,2.16,RU,1678437229
14,hilo,19.7297,-155.09,22.85,81,100,3.09,US,1678436955
15,yeppoon,-23.1333,150.7333,26.88,86,100,5.11,AU,1678436770
16,ust-ilimsk,58.0006,102.6619,-14.66,86,100,4.04,RU,1678437231
17,gambela,8.25,34.5833,39.03,21,95,0.85,ET,1678437231
18,qaanaaq,77.484,-69.3632,-13.41,58,55,4.2,GL,1678436999
19,west bay,19.3667,-81.4167,25.0,79,30,7.94,KY,1678437233
20,mataura,-46.1927,168.8643,11.45,82,100,1.31,NZ,1678437233
21,tual,-5.6667,132.75,28.13,78,55,4.88,ID,1678437107
22,pevek,69.7008,170.3133,-24.48,100,97,2.3,RU,1678437235
23,albany,42.6001,-73.9662,-3.08,80,77,1.25,US,1678436792
24,bengkulu,-3.8004,102.2655,27.29,84,80,3.57,ID,1678437236
25,punta arenas,-53.15,-70.9167,10.06,62,0,12.35,CL,1678437155
26,san pedro,14.35,121.0167,29.57,64,20,4.63,PH,1678437238
27,ilulissat,69.2167,-51.1,-7.99,45,5,9.26,GL,1678437238
28,thompson,55.7435,-97.8558,-25.91,84,0,1.03,CA,1678437239
29,rikitea,-23.1203,-134.9692,25.99,71,0,5.59,PF,1678437240
30,ahipara,-35.1667,173.1667,18.14,86,4,5.62,NZ,1678436755
31,tuktoyaktuk,69.4541,-133.0374,-21.78,97,100,7.24,CA,1678437241
32,praya,14.9215,-23.5087,25.3,23,0,7.72,CV,1678437242
33,ribeira grande,38.5167,-28.7,17.65,94,75,12.52,PT,1678437243
34,zhezkazgan,47.8043,67.7144,0.99,80,0,7.0,KZ,1678437044
35,atuona,-9.8,-139.0333,26.3,73,99,3.56,PF,1678437245
36,busselton,-33.65,115.3333,24.78,49,1,7.27,AU,1678437246
37,nome,64.5011,-165.4064,-17.96,85,0,0.0,US,1678437124
38,alofi,-19.0595,-169.9187,25.94,78,100,5.66,NU,1678437247
39,coquimbo,-29.9533,-71.3436,17.85,94,100,1.03,CL,1678437248
40,prince george,53.9166,-122.753,-10.31,79,100,3.09,CA,1678436950
41,new norfolk,-42.7826,147.0587,19.72,55,100,2.68,AU,1678437249
42,port alfred,-33.5906,26.891,27.07,61,7,7.66,ZA,1678437250
43,tasiilaq,65.6145,-37.6368,-7.91,88,99,1.36,GL,1678437102
44,wilkes-barre,41.2459,-75.8813,-0.54,86,20,3.58,US,1678437004
45,poum,-20.2333,164.0167,27.52,70,56,5.7,NC,1678436693
46,praia da vitoria,38.7333,-27.0667,17.64,100,75,14.54,PT,1678437253
47,bredasdorp,-34.5322,20.0403,22.01,54,0,1.86,ZA,1678437254
48,visselhovede,52.9833,9.6,1.47,95,100,4.1,DE,1678437255
49,san patricio,28.017,-97.5169,22.92,95,79,2.87,US,1678437256
50,lavrentiya,65.5833,-171.0,-17.77,88,68,0.92,RU,1678437256
51,amapa,1.0,-52.0,21.84,100,100,0.8,BR,1678437175
52,lahij,13.1667,44.5833,28.73,42,33,5.31,YE,1678437258
53,kapaa,22.0752,-159.319,21.99,68,0,1.54,US,1678437034
54,dikson,73.5069,80.5464,-15.87,88,100,6.75,RU,1678437189
55,san quintin,30.4833,-115.95,12.79,88,32,4.62,MX,1678437259
56,ponta do sol,32.6667,-17.1,20.0,83,83,3.38,PT,1678437260
57,arraial do cabo,-22.9661,-42.0278,24.13,88,81,8.25,BR,1678437261
58,pa sang,18.5262,98.9394,38.38,30,18,1.2,TH,1678437262
59,jamestown,42.097,-79.2353,0.01,89,100,3.09,US,1678437262
60,limon,10.0,-83.0333,22.81,84,96,1.27,CR,1678437263
61,hobart,-42.8794,147.3294,19.92,54,75,6.17,AU,1678437264
62,carnarvon,-24.8667,113.6333,26.2,61,0,9.36,AU,1678437266
63,puerto ayora,-0.7393,-90.3518,23.64,100,88,1.34,EC,1678437174
64,kununurra,-15.7667,128.7333,34.99,24,7,4.12,AU,1678437154
65,kaitangata,-46.2817,169.8464,11.96,89,97,2.25,NZ,1678437267
66,cockburn town,21.4612,-71.1419,22.9,61,5,6.47,TC,1678437268
67,tiksi,71.6872,128.8694,-23.49,92,98,1.5,RU,1678437269
68,avarua,-21.2078,-159.775,24.03,94,75,1.54,CK,1678437122
69,cartagena,10.3997,-75.5144,24.79,83,20,3.6,CO,1678437270
70,boyolangu,-8.1181,111.8935,28.04,73,96,3.57,ID,1678437271
71,cherskiy,68.75,161.3,-29.46,100,32,0.82,RU,1678437008
72,georgetown,5.4112,100.3354,31.96,58,20,4.63,MY,1678436749
73,upernavik,72.7868,-56.1549,-21.58,72,5,1.37,GL,1678437273
74,trairi,-3.2778,-39.2689,24.21,90,100,4.12,BR,1678437114
75,perehonivka,48.5355,30.5192,8.0,60,27,1.43,UA,1678437275
